id,url,title,domain,category,resource_type,topics,author,github_repository,image,icon,first_seen,last_seen
L00001,https://maple.dev/,"Open Source Observability for Traces, Logs & Metrics — Maple",maple.dev,Websites & products,Homepage,Observability & evaluation,,,https://maple.dev/og-image.png,https://maple.dev/logo192.png,2026-02-13T01:13:31Z,2026-03-20T23:57:49Z
L00002,https://x.com/alighodsi/status/2020904120237031660,Ali Ghodsi (@alighodsi) on X,x.com,Social media & discussions,Social post,,alighodsi,,,http://abs.twimg.com/favicons/twitter.3.ico,2026-02-13T01:14:52Z,2026-02-13T01:14:52Z
L00003,https://x.com/chintanturakhia/status/2019921786834411728,Chintan Turakhia (@chintanturakhia) on X,x.com,Social media & discussions,Social post,,chintanturakhia,,https://pbs.twimg.com/media/HAg0J2AXsAAdW-1.jpg:large,http://abs.twimg.com/favicons/twitter.3.ico,2026-02-13T01:15:40Z,2026-02-13T01:15:40Z
L00004,https://ca.haakonwibe.com/,ca.haakonwibe.com,ca.haakonwibe.com,Websites & products,Homepage,,,,,,2026-02-13T01:16:06Z,2026-02-13T01:16:06Z
L00005,https://electric-sql.com/blog/2026/02/02/configurancy,Configurancy: Keeping Systems Intelligible When Agents Write All the Code | ElectricSQL,electric-sql.com,Articles & announcements,Article or announcement,Data & databases; AI agents & automation,,,https://electric-sql.com/.netlify/images?url=https%3A%2F%2Felectric-sql.com%2Fimg%2Fblog%2Fconfigurancy%2Fhero.png&w=1200&h=630&fit=cover&fm=jpg&q=80,https://electric-sql.com/img/brand/favicon.png,2026-02-13T01:17:21Z,2026-02-13T01:17:21Z
L00006,https://x.com/sotoalt_/status/2020897581048500536,SotoAlt (@sotoalt_) on X,x.com,Social media & discussions,Social post,,sotoalt_,,https://pbs.twimg.com/amplify_video_thumb/2020897450614206464/img/E0KaAlD4cQUqJKl4.jpg:large,http://abs.twimg.com/favicons/twitter.3.ico,2026-02-13T01:17:43Z,2026-02-13T01:17:43Z
L00007,https://help.obsidian.md/cli,Obsidian CLI - Obsidian Help,help.obsidian.md,Websites & products,Web page,Developer tools,,,https://ogimage.obsidian.md/og-image.png?title=Obsidian+CLI&description=Anything+you+can+do+in+Obsidian+can+be+done+from+the+command+line.&logoUrl=https%3A%2F%2Fpublish-01.obsidian.md%2Faccess%2Ff786db9fac45774fa4f0d8112e232d67%2Ffavicon-96x96.png&siteName=Obsidian+Help,,2026-02-13T01:18:00Z,2026-02-13T01:18:00Z
L00008,https://replay.software/echo,Echo,replay.software,Websites & products,Web page,,,,https://replay.software/echo/opengraph-26.png,https://replay.software/echo/favicon-120.png,2026-02-13T01:18:22Z,2026-02-13T01:18:22Z
L00009,https://browserbase.com/blog/browserbase-functions,Introducing Browserbase Functions,browserbase.com,Articles & announcements,Article or announcement,,,,https://cdn.sanity.io/images/v773ixxh/staging/210dfe07794c46db1121cb1f12dbab4a298e0ff7-3600x1890.png?v=2,https://www.browserbase.com/favicon/apple-touch-icon.png,2026-02-13T01:18:49Z,2026-02-13T01:18:49Z
L00010,https://augmentcode.com/product/intent,Intent - The developer workspace for agent orchestration,augmentcode.com,Websites & products,Web page,Agent orchestration & workspaces; AI agents & automation; Developer tools,,,https://www.augmentcode.com/api/og?title=The+developer+workspace+for+agent+orchestration,https://www.augmentcode.com/favicon.ico,2026-02-13T01:19:07Z,2026-02-13T21:39:27Z
L00011,https://userinterface.wiki/,userinterface.wiki,userinterface.wiki,Websites & products,Homepage,,,,https://www.userinterface.wiki/open-graph/default.png,https://www.userinterface.wiki/open-graph/apple-icon.png,2026-02-13T01:19:29Z,2026-02-13T01:19:29Z
L00012,https://tryroro.com/code,roro,tryroro.com,Websites & products,Web page,,,,,https://www.tryroro.com/icon.png?icon.6b05390b.png,2026-02-13T01:19:48Z,2026-02-13T01:19:48Z
L00013,https://x.com/bnj/status/2021330958671380625,Ben South (@bnj) on X,x.com,Social media & discussions,Social post,,bnj,,https://pbs.twimg.com/amplify_video_thumb/2021303671955619840/img/C0vntofJMwg37A-E.jpg:large,http://abs.twimg.com/favicons/twitter.3.ico,2026-02-13T01:20:03Z,2026-02-13T01:20:03Z
L00014,https://rubriclabs.com/blog/how-does-claude-code-actually-work,How does Claude Code actually work? | Rubric Labs,rubriclabs.com,Articles & announcements,Article or announcement,AI coding & software development; AI models & research,,,https://rubriclabs.com/opengraph-image,https://rubriclabs.com/apple-icon?dfd3b694bb323349,2026-02-13T01:20:17Z,2026-02-13T01:20:17Z
L00015,https://github.com/google/langextract,google/langextract,github.com,Code & repositories,Repository,,google,google/langextract,,,2026-02-13T01:20:52Z,2026-02-13T01:20:52Z
L00016,https://nebula.gg/,Nebula - Your Super Agent,nebula.gg,Websites & products,Homepage,AI agents & automation,,,https://nebula.gg/opengraph-image?9712f4585e0d462b,,2026-02-13T01:22:03Z,2026-02-13T01:22:03Z
L00017,https://x.com/willmanidis/status/2021655191901155534,Will Manidis (@WillManidis) on X,x.com,Social media & discussions,Social post,,WillManidis,,https://pbs.twimg.com/media/HA5Nc3fbsAIYQgE.jpg:large,http://abs.twimg.com/favicons/twitter.3.ico,2026-02-13T01:22:16Z,2026-02-13T01:22:16Z
L00018,https://linear.app/homepage,Linear – The system for product development,linear.app,Websites & products,Web page,,,,https://linear.app/static/og/homepage.jpg,https://linear.app/static/apple-touch-icon.png?v=2,2026-02-13T01:23:23Z,2026-02-13T01:23:23Z
L00019,https://youtube.com/watch?v=jgLJ5xas2ow,Your startup idea is their weekend holiday,youtube.com,Videos & talks,Video,,,,,https://a.slack-edge.com/80588/img/unfurl_icons/youtube.png,2026-02-13T16:33:33Z,2026-02-13T16:33:33Z
L00020,https://github.blog/ai-and-ml/automate-repository-tasks-with-github-agentic-workflows,Automate repository tasks with GitHub Agentic Workflows,github.blog,Websites & products,Web page,Productivity & collaboration; AI agents & automation; AI models & research,,,https://github.blog/wp-content/uploads/2026/02/546373902-0e39acc0-04db-40a3-85c4-71b4eddfe59e.jpg?fit=2400%2C1260,https://github.blog/wp-content/uploads/2019/01/cropped-github-favicon-512.png?fit=180%2C180,2026-02-13T20:07:26Z,2026-02-13T20:07:26Z
L00021,https://x.com/intern/status/2022058797229908385,intern (@intern) on X,x.com,Social media & discussions,Social post,,intern,,https://pbs.twimg.com/media/HA_KaRLbsAEFRUV.jpg:large,http://abs.twimg.com/favicons/twitter.3.ico,2026-02-13T21:36:36Z,2026-02-13T21:36:36Z
L00022,https://dockhand.pro/,Dockhand - Modern Docker Management,dockhand.pro,Websites & products,Homepage,Cloud & infrastructure,,,https://dockhand.pro/images/main.webp,https://dockhand.pro/images/logo.webp,2026-02-13T21:36:53Z,2026-02-13T21:36:53Z
